unix_timestamp,temperature,pressure,wind_direction,wind_speed,insolation,humidity
2010-01-01T04:24:49.000+01:00,1.0,913.0,215.0,30.0,8.0,30.0
2010-01-01T09:16:24.000+01:00,13.0,1080.0,118.0,88.0,5.0,77.0
2010-01-01T09:31:02.000+01:00,34.0,940.0,160.0,39.0,10.0,71.0
2010-01-01T10:15:22.000+01:00,33.0,988.0,143.0,26.0,10.0,83.0
2010-01-01T11:21:25.000+01:00,-25.0,1021.0,11.0,29.0,6.0,0.0
2010-01-01T11:38:34.000+01:00,-36.0,1064.0,138.0,43.0,9.0,92.0
2010-01-01T12:19:16.000+01:00,50.0,1162.0,12.0,88.0,1.0,61.0
2010-01-01T12:38:25.000+01:00,0.0,1043.0,92.0,87.0,7.0,42.0
2010-01-01T13:04:24.000+01:00,10.0,983.0,123.0,29.0,5.0,59.0
2010-01-01T13:43:54.000+01:00,-28.0,907.0,356.0,85.0,8.0,84.0
2010-01-01T18:18:48.000+01:00,-16.0,981.0,117.0,97.0,6.0,63.0
2010-01-01T19:36:59.000+01:00,-11.0,967.0,221.0,6.0,2.0,83.0
2010-01-01T19:38:31.000+01:00,34.0,1055.0,164.0,10.0,3.0,56.0
2010-01-01T22:51:03.000+01:00,50.0,977.0,349.0,24.0,7.0,28.0
2010-01-02T00:37:51.000+01:00,11.0,1170.0,168.0,8.0,0.0,18.0
2010-01-02T01:55:41.000+01:00,-27.0,1037.0,267.0,21.0,0.0,97.0
2010-01-02T02:37:02.000+01:00,-37.0,1092.0,72.0,59.0,5.0,34.0
2010-01-02T03:30:29.000+01:00,18.0,1002.0,131.0,34.0,3.0,63.0
2010-01-02T04:49:19.000+01:00,-8.0,918.0,18.0,48.0,8.0,38.0
2010-01-02T05:06:59.000+01:00,6.0,920.0,32.0,93.0,0.0,71.0
2010-01-02T07:02:07.000+01:00,-25.0,924.0,344.0,0.0,9.0,1.0
2010-01-02T07:07:53.000+01:00,13.0,962.0,8.0,13.0,4.0,3.0
2010-01-02T11:40:16.000+01:00,15.0,1140.0,232.0,23.0,3.0,85.0
2010-01-02T13:55:16.000+01:00,-35.0,1121.0,67.0,42.0,1.0,60.0
2010-01-02T16:28:49.000+01:00,31.0,1163.0,56.0,34.0,6.0,41.0
2010-01-02T20:11:13.000+01:00,-1.0,1026.0,333.0,56.0,2.0,74.0
2010-01-02T21:38:49.000+01:00,25.0,1178.0,194.0,31.0,6.0,98.0
2010-01-02T21:53:22.000+01:00,16.0,919.0,152.0,85.0,4.0,59.0
2010-01-03T05:26:06.000+01:00,-35.0,1100.0,167.0,24.0,6.0,59.0
2010-01-03T05:54:24.000+01:00,-4.0,913.0,324.0,87.0,8.0,68.0
2010-01-03T09:21:03.000+01:00,5.0,1103.0,80.0,25.0,9.0,85.0
2010-01-03T09:44:06.000+01:00,-21.0,1041.0,34.0,14.0,5.0,29.0
2010-01-03T11:16:54.000+01:00,32.0,1002.0,144.0,3.0,10.0,95.0
2010-01-03T13:22:27.000+01:00,-4.0,1079.0,117.0,34.0,1.0,19.0
2010-01-03T13:30:37.000+01:00,-10.0,918.0,46.0,76.0,1.0,73.0
2010-01-03T15:35:01.000+01:00,48.0,1200.0,234.0,99.0,1.0,15.0
2010-01-03T15:42:49.000+01:00,13.0,1164.0,42.0,64.0,4.0,91.0
2010-01-04T00:06:30.000+01:00,1.0,1059.0,281.0,71.0,5.0,12.0
2010-01-04T04:05:25.000+01:00,-30.0,1175.0,331.0,21.0,1.0,45.0
2010-01-04T04:18:35.000+01:00,35.0,1025.0,13.0,80.0,10.0,70.0
2010-01-04T04:39:44.000+01:00,1.0,972.0,251.0,40.0,6.0,54.0
2010-01-04T05:15:12.000+01:00,-14.0,1049.0,6.0,93.0,1.0,76.0
2010-01-04T07:51:47.000+01:00,8.0,1031.0,290.0,87.0,2.0,46.0
2010-01-04T08:34:28.000+01:00,-36.0,907.0,51.0,69.0,3.0,63.0
2010-01-04T09:03:22.000+01:00,-3.0,1030.0,227.0,38.0,0.0,51.0
2010-01-04T12:38:03.000+01:00,15.0,1175.0,77.0,52.0,10.0,29.0
2010-01-04T16:06:49.000+01:00,-14.0,919.0,159.0,60.0,5.0,60.0
2010-01-04T21:49:17.000+01:00,46.0,1105.0,196.0,35.0,9.0,44.0
2010-01-04T21:54:17.000+01:00,21.0,923.0,19.0,60.0,6.0,79.0
2010-01-04T22:14:56.000+01:00,-3.0,1028.0,124.0,12.0,4.0,87.0
2010-01-04T22:49:33.000+01:00,-34.0,1097.0,106.0,32.0,3.0,3.0
2010-01-05T03:14:08.000+01:00,-35.0,974.0,127.0,52.0,1.0,51.0
