unix_timestamp,temperature,pressure,wind_direction,wind_speed,insolation,humidity
2011-01-04T03:53:51.000+01:00,21.0,1115.0,165.0,18.0,8.0,68.0
2011-01-18T03:43:50.000+01:00,-12.0,962.0,245.0,25.0,10.0,43.0
2011-01-21T21:14:08.000+01:00,-6.0,907.0,191.0,92.0,3.0,71.0
2011-02-14T21:49:30.000+01:00,-18.0,1060.0,225.0,32.0,2.0,59.0
2011-03-03T21:37:06.000+01:00,43.0,950.0,111.0,79.0,2.0,29.0
2011-03-10T22:51:26.000+01:00,9.0,1090.0,97.0,95.0,5.0,21.0
2011-04-29T17:58:17.000+02:00,24.0,1179.0,22.0,45.0,9.0,64.0
2011-05-19T15:50:08.000+02:00,-50.0,1182.0,346.0,74.0,1.0,81.0
2011-05-25T20:12:36.000+02:00,-24.0,1051.0,37.0,3.0,6.0,59.0
2011-06-07T01:26:08.000+02:00,46.0,955.0,145.0,62.0,8.0,45.0
2011-07-01T04:17:49.000+02:00,-22.0,901.0,288.0,6.0,10.0,5.0
2011-07-04T20:40:42.000+02:00,50.0,1125.0,272.0,53.0,9.0,32.0
2011-08-06T09:29:22.000+02:00,18.0,1174.0,16.0,14.0,3.0,13.0
2011-08-09T14:35:37.000+02:00,-35.0,927.0,178.0,5.0,0.0,76.0
2011-08-23T09:07:18.000+02:00,-16.0,1156.0,226.0,27.0,1.0,28.0
2011-08-27T01:44:47.000+02:00,-19.0,1093.0,187.0,63.0,4.0,75.0
2011-09-01T06:25:20.000+02:00,-46.0,943.0,136.0,17.0,0.0,68.0
2011-09-25T06:12:03.000+02:00,5.0,911.0,231.0,81.0,8.0,54.0
2011-09-29T04:59:05.000+02:00,-44.0,1097.0,200.0,54.0,10.0,46.0
2011-11-06T11:20:51.000+01:00,-11.0,1188.0,317.0,75.0,1.0,9.0
2011-11-15T10:26:24.000+01:00,20.0,1024.0,49.0,88.0,2.0,69.0
2011-11-17T18:57:19.000+01:00,-24.0,1148.0,17.0,93.0,6.0,73.0
2011-11-28T22:18:33.000+01:00,-9.0,992.0,349.0,5.0,5.0,88.0
2012-01-09T08:40:04.000+01:00,-31.0,1200.0,329.0,49.0,6.0,15.0
2012-01-15T15:37:18.000+01:00,-6.0,1040.0,173.0,10.0,9.0,48.0
2012-01-28T05:29:26.000+01:00,-46.0,1180.0,92.0,54.0,8.0,23.0
2012-01-28T08:39:42.000+01:00,-50.0,1086.0,34.0,28.0,2.0,71.0
2012-03-06T07:02:16.000+01:00,-15.0,1174.0,315.0,28.0,2.0,91.0
2012-04-02T12:28:33.000+02:00,-12.0,913.0,85.0,61.0,3.0,50.0
2012-05-02T17:03:29.000+02:00,-26.0,1138.0,10.0,61.0,9.0,65.0
2012-06-24T01:17:46.000+02:00,27.0,1010.0,236.0,96.0,1.0,22.0
2012-07-09T19:05:02.000+02:00,-42.0,1010.0,58.0,31.0,3.0,15.0
2012-07-18T19:01:50.000+02:00,-34.0,981.0,8.0,36.0,0.0,100.0
2012-07-19T15:03:20.000+02:00,1.0,1042.0,334.0,13.0,4.0,17.0
2012-07-20T17:51:32.000+02:00,-29.0,1097.0,139.0,3.0,5.0,94.0
2012-07-21T01:28:26.000+02:00,14.0,1159.0,205.0,92.0,5.0,0.0
2012-08-02T23:47:43.000+02:00,45.0,1094.0,38.0,31.0,1.0,35.0
2012-08-08T17:18:56.000+02:00,-25.0,972.0,27.0,94.0,5.0,95.0
2012-08-09T17:54:25.000+02:00,22.0,1095.0,50.0,97.0,0.0,74.0
2012-08-14T09:26:44.000+02:00,-25.0,1110.0,212.0,65.0,9.0,76.0
2012-09-15T21:01:08.000+02:00,-42.0,1030.0,136.0,8.0,3.0,75.0
2012-10-10T19:37:12.000+02:00,-18.0,918.0,347.0,85.0,3.0,83.0
2012-10-11T21:53:14.000+02:00,-32.0,1116.0,59.0,9.0,5.0,69.0
2012-11-05T15:57:43.000+01:00,-40.0,987.0,154.0,91.0,10.0,84.0
2012-11-11T08:16:07.000+01:00,-14.0,1019.0,228.0,11.0,6.0,8.0
2012-11-29T09:56:50.000+01:00,-9.0,1010.0,193.0,8.0,9.0,48.0
2012-12-03T10:33:12.000+01:00,20.0,966.0,139.0,28.0,1.0,8.0
2012-12-09T00:33:45.000+01:00,-21.0,1035.0,278.0,8.0,5.0,57.0
2012-12-09T13:01:08.000+01:00,-28.0,1144.0,195.0,82.0,0.0,29.0
2012-12-22T03:08:38.000+01:00,45.0,940.0,143.0,62.0,6.0,41.0
